,index,Nature mutation,Type de voie,Voie,Code postal,Commune,Code departement,1er lot,Surface Carrez du 1er lot,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,lon,lat,Valeur fonciere
13763,293669,Vente,RUE,ACHILLE MARTINET,75018,PARIS 18,75,40.0,"53,47",1,Appartement,53.0,2.0,2.336607,48.89177100000001,"476000,00"
13764,293670,Vente,CITE,HERMEL,75018,PARIS 18,75,30.0,"35,61",1,Appartement,34.0,2.0,2.344355,48.890624,"210000,00"
13766,293672,Vente,RUE,MYRHA,75018,PARIS 18,75,14.0,"35,70",1,Appartement,37.0,2.0,2.351137,48.886718,"235000,00"
13767,293675,Vente,IMP,ST FRANCOIS,75018,PARIS 18,75,10.0,"19,59",1,Appartement,18.0,2.0,2.344064,48.896486,"154800,00"
13768,293677,Vente,RUE,GEORGETTE AGUTTE,75018,PARIS 18,75,211.0,"59,20",2,Appartement,60.0,2.0,2.332594,48.894962,"505000,00"
13769,293680,Vente,RUE,HERMEL,75018,PARIS 18,75,21.0,"11,01",1,Appartement,11.0,1.0,2.343938,48.890056,"125000,00"
13770,293681,Vente,RUE,VERSIGNY,75018,PARIS 18,75,10.0,"55,49",1,Appartement,57.0,3.0,2.344706,48.894568,"540000,00"
13772,293685,Vente,BD,BARBES,75018,PARIS 18,75,23.0,"95,03",2,Appartement,97.0,4.0,2.349806,48.88879,"800000,00"
13773,293687,Vente,RUE,ANDRE ANTOINE,75018,PARIS 18,75,16.0,"26,54",1,Appartement,27.0,2.0,2.337593,48.883801,"300000,00"
13774,293691,Vente,AV,JUNOT,75018,PARIS 18,75,145.0,"30,81",2,Appartement,32.0,2.0,2.336439,48.888096,"339250,00"
13775,293692,Vente,RUE,DU SIMPLON,75018,PARIS 18,75,2.0,"29,01",2,Appartement,28.0,2.0,2.350143,48.8939,"231700,00"
13776,293694,Vente,RUE,CAUCHOIS,75018,PARIS 18,75,5.0,"15,16",1,Appartement,14.0,1.0,2.333101,48.885055,"125000,00"
13777,293696,Vente,RUE,POLONCEAU,75018,PARIS 18,75,130.0,"44,84",1,Appartement,54.0,3.0,2.353535,48.885489,"465000,00"
13778,293697,Vente,RUE,BOINOD,75018,PARIS 18,75,31.0,"25,14",2,Appartement,30.0,2.0,2.350336,48.892452,"230000,00"
13779,293698,Vente,RUE,DE PANAMA,75018,PARIS 18,75,24.0,"46,23",2,Appartement,38.0,2.0,2.352101,48.887879,"410000,00"
