index,Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,lon,lat,code_IRIS,code_district_admin,code_district_custom,Valeur fonciere
249449,,,,,,,,1,1477,Vente,32.0,,RUE,6336,MICHEL LE COMTE,75003,PARIS 03,75,103,,AS,87,,49.0,"47,98",50.0,,,,,,,,2,2.0,Appartement,,50.0,2.0,,,,2.354692,48.862659,751031201.0,12.0,Sainte Avoie,"537600,00"
249451,,,,,,,,1,1321,Vente,35.0,,BD,0719,DES BATIGNOLLES,75008,PARIS 08,75,108,,CE,48,,33.0,,4.0,"14,76",,,,,,,2,2.0,Appartement,,25.0,1.0,,,,2.322674,48.882349,751083206.0,32.0,Europe,"190000,00"
249453,,,,,,,,1,1399,Vente,49.0,,RUE,6286,MESLAY,75003,PARIS 03,75,103,,AB,33,,13.0,,14.0,,20.0,,21.0,,5.0,"59,86",5,2.0,Appartement,,60.0,1.0,,,,2.357759,48.868116,751030901.0,9.0,Arts et Métiers,"670000,00"
249455,,,,,,,,1,1425,Vente,29.0,,RUE,6573,DE MOSCOU,75008,PARIS 08,75,108,,CE,77,,10.0,,27.0,,7.0,,8.0,,9.0,,5,2.0,Appartement,,95.0,4.0,,,,2.323502,48.881208,751083206.0,32.0,Europe,"955000,00"
249457,,,,,,,,1,1270,Vente,37.0,,BD,0719,DES BATIGNOLLES,75008,PARIS 08,75,108,,CE,47,,24.0,"11,27",,,,,,,,,1,2.0,Appartement,,14.0,1.0,,,,2.322511,48.882315999999996,751083206.0,32.0,Europe,"118000,00"
249463,,,,,,,,1,1321,Vente,1.0,,RUE,4718,DES INNOCENTS,75001,PARIS 01,75,101,,AO,79,,80.0,"185,57",,,,,,,,,1,2.0,Appartement,,187.0,6.0,,,,2.348175,48.860339,751010201.0,2.0,Les Halles,"1975000,00"
249472,,,,,,,,1,1260,Vente,17.0,,RUE,6675,DE NAPLES,75008,PARIS 08,75,108,,CF,75,,10.0,"36,00",,,,,,,,,1,2.0,Appartement,,36.0,2.0,,,,2.3196470000000002,48.87966,751083205.0,32.0,Mairie,"400000,00"
249474,,,,,,,,1,1256,Vente,19.0,,RUE,6387,DE MIROMESNIL,75008,PARIS 08,75,108,,BK,43,,107.0,,121.0,,,,,,,,2,2.0,Appartement,,172.0,4.0,,,,2.315934,48.872459,751083104.0,31.0,Elysées-Madeleine,"1800000,00"
249475,,,,,,,,1,1321,Vente,79.0,,RUE,6834,NOTRE DAME DE NAZARETH,75003,PARIS 03,75,103,,AB,107,,10.0,,11.0,,,,,,,,2,2.0,Appartement,,88.0,4.0,,,,2.354059,48.86804,751030905.0,9.0,Arts et Métiers,"750000,00"
249481,,,,,,,,1,1263,Vente,36.0,,RUE,9510,DE TURIN,75008,PARIS 08,75,108,,CD,43,,10.0,"67,77",,,,,,,,,1,2.0,Appartement,,64.0,3.0,,,,2.324464,48.882428000000004,751083207.0,32.0,Europe,"675000,00"
